002272	American Micro-Fuel Device Corp.
3C1512	Shenzhen Huanhu Technology Co.,Ltd
8C31E2	DAYOUPLUS
10394E	Hisense broadband multimedia technology Co.,Ltd
D8D5B9	Rainforest Automation, Inc.
04BA1C	Huawei Device Co., Ltd.
7C3D2B	Huawei Device Co., Ltd.
18C241	SonicWall
58454C	Ericsson AB
FC4DA6	HUAWEI TECHNOLOGIES CO.,LTD
B414E6	HUAWEI TECHNOLOGIES CO.,LTD
AC9929	HUAWEI TECHNOLOGIES CO.,LTD
184859	Castlenet Technology Inc.
14517E	New H3C Technologies Co., Ltd
083A38	New H3C Technologies Co., Ltd
70F088	Nintendo Co.,Ltd
842388	Ruckus Wireless
F4C7AA	Marvell Semiconductors
F8ABE5	shenzhen worldelite electronics co., LTD
E0DBD1	Technicolor CH USA Inc.
CCED21	Nokia Shanghai Bell Co., Ltd.
10D561	Tuya Smart Inc.
001A86	New Wave Design & Verification
509A46	Safetrust Inc
D0CFD8	Huizhou Boshijie Technology Co.,Ltd
84C78F	APS Networks GmbH
F0A3B2	Hui Zhou Gaoshengda Technology Co.,LTD
08BB3C	Flextronics Tech.(Ind) Pvt Ltd
2CBEEB	Nothing Technology Limited
F04A02	Cisco Systems, Inc
7409AC	Quext, LLC
F0016E	Tianyi Telecom Terminals Company Limited
EC0BAE	Hangzhou BroadLink Technology Co.,Ltd
802511	ITEL MOBILE LIMITED
E8A660	HUAWEI TECHNOLOGIES CO.,LTD
CC242E	Shenzhen SuperElectron Technology Co.,Ltd.
082FE9	HUAWEI TECHNOLOGIES CO.,LTD
984874	HUAWEI TECHNOLOGIES CO.,LTD
1CA681	HUAWEI TECHNOLOGIES CO.,LTD
B881FA	Apple, Inc.
9C760E	Apple, Inc.
94EA32	Apple, Inc.
C8BFFE	Huawei Device Co., Ltd.
082E36	Huawei Device Co., Ltd.
50F4EB	Apple, Inc.
28C709	Apple, Inc.
3802DE	Sercomm Corporation.
5C625A	CANON INC.
7C0A3F	Samsung Electronics Co.,Ltd
08AA89	zte corporation
A4352D	TRIZ Networks corp.
04D60E	FUNAI ELECTRIC CO., LTD.
049F81	NETSCOUT SYSTEMS INC
00808C	NETSCOUT SYSTEMS INC
001F92	Motorola Solutions Inc.
0023BB	Accretech SBS, Inc.
B0C952	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
F4419E	Huawei Device Co., Ltd.
90F9B7	HUAWEI TECHNOLOGIES CO.,LTD
F44588	HUAWEI TECHNOLOGIES CO.,LTD
C8BB81	Huawei Device Co., Ltd.
1C472F	Huawei Device Co., Ltd.
205E64	Huawei Device Co., Ltd.
60577D	eero inc.
C8138B	Shenzhen Skyworth  Digital  Technology  CO., Ltd
78F235	Sichuan AI-Link Technology Co., Ltd.
F44EE3	Intel Corporate
D0E042	Cisco Systems, Inc
3C3712	AVM Audiovisuelles Marketing und Computersysteme GmbH
80B655	Intel Corporate
0CCB0C	iSYS RTS GmbH
4456E2	Sichuan Tianyi Comheart Telecom Co.,LTD
54AED2	CSL Dualcom Ltd
F46FA4	Physik Instrumente GmbH & Co. KG
C47469	BT9
645D92	Sichuan Tianyi Comheart Telecom Co.,LTD
9C6121	Sichuan Tianyi Comheart Telecom Co.,LTD
E04FBD	Sichuan Tianyi Comheart Telecom Co.,LTD
40F420	Sichuan Tianyi Comheart Telecom Co.,LTD
CCA260	Sichuan Tianyi Comheart Telecom Co.,LTD
ACE77B	Sichuan Tianyi Comheart Telecom Co.,LTD
4CD3AF	HMD Global Oy
C85142	Samsung Electronics Co.,Ltd
CC0DE7	B METERS S.R.L.
5CA176	Sichuan Tianyi Comheart Telecom Co.,LTD
10E4C2	Samsung Electronics Co.,Ltd
0C8DCA	Samsung Electronics Co.,Ltd
582FF7	Sagemcom Broadband SAS
8CFD15	Imagine Marketing Private Limited
ACD829	Bouffalo Lab (Nanjing) Co., Ltd.
683A48	SAMJIN Co., Ltd.
B027CF	Extreme Networks, Inc.
14223B	Google, Inc.
48F8FF	CHENGDU KT ELECTRONIC HI-TECH CO.,LTD
E8C1E8	Shenzhen Xiao Bi En Culture Education Technology Co.,Ltd.
2CDDE9	Arista Networks
709741	Arcadyan Corporation
C4FF22	Huawei Device Co., Ltd.
A0A0DC	Huawei Device Co., Ltd.
C4808A	Cloud Diagnostics Canada ULC
E408E7	Quectel Wireless Solutions Co.,Ltd.
7C70DB	Intel Corporate
8C94CC	SFR
60B6E1	Texas Instruments
6C79B8	Texas Instruments
A4D094	VIVAVIS AG
8CA399	SERVERCOM (INDIA) PRIVATE LIMITED
60DB15	New H3C Technologies Co., Ltd
5CA721	New H3C Technologies Co., Ltd
98F217	Castlenet Technology Inc.
908060	Nilfisk A/S
70A6CC	Intel Corporate
6C433C	TECNO MOBILE LIMITED
445BED	Aruba, a Hewlett Packard Enterprise Company
84EBEF	Cisco Systems, Inc
D03E7D	CHIPSEA TECHNOLOGIES (SHENZHEN) CORP.
906976	Withrobot Inc.
FC9257	Renesas Electronics (Penang) Sdn. Bhd.
60A5E2	Intel Corporate
A42A71	Sichuan Tianyi Comheart Telecom Co.,LTD
D4548B	Intel Corporate
1009F9	Amazon Technologies Inc.
D01E1D	SaiNXT Technologies LLP
584D42	Dragos, Inc.
608A10	Microchip Technology Inc.
A82316	Nokia
38E39F	Motorola Mobility LLC, a Lenovo Company
446752	Wistron INFOCOMM (Zhongshan) CORPORATION
78BB88	Maxio Technology (Hangzhou) Ltd.
A864F1	Intel Corporate
106FD9	CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
E06781	Dongguan Liesheng Electronic Co., Ltd.
000324	SANYO Techno Solutions Tottori Co., Ltd.
B8AE1D	Guangzhou Xingyi Electronic Technology Co.,Ltd
3CCD57	Beijing Xiaomi Mobile Software Co., Ltd
B8DAE8	Huawei Device Co., Ltd.
28DEA8	zte corporation
808ABD	Samsung Electronics Co.,Ltd
D8BE65	Amazon Technologies Inc.
60E32B	Intel Corporate
ACEC85	eero inc.
ECA81F	Technicolor CH USA Inc.
90B57F	Shenzhen iComm Semiconductor CO.,LTD
C0F827	Rapidmax Technology Corporation
B4527E	Sony Corporation
7086CE	GD Midea Air-Conditioning Equipment Co.,Ltd.
307512	Sony Corporation
C43ABE	Sony Corporation
94CE2C	Sony Corporation
DC8D8A	Nokia Solutions and Networks GmbH & Co. KG
20E7B6	Universal Electronics, Inc.
500F59	STMicrolectronics International NV
E42AAC	Microsoft Corporation
D43DF3	Zyxel Communications Corporation
20579E	HUNAN FN-LINK TECHNOLOGY LIMITED
001E45	Sony Corporation
000E07	Sony Corporation
000AD9	Sony Corporation
0023F1	Sony Corporation
001A75	Sony Corporation
001CA4	Sony Corporation
245E48	Apple, Inc.
08C729	Apple, Inc.
C884CF	HUAWEI TECHNOLOGIES CO.,LTD
806A10	Whisker Labs - Ting
E023D7	Sleep Number
C4C36B	Apple, Inc.
241D48	Sichuan Tianyi Comheart Telecom Co.,LTD
287777	zte corporation
00919E	Intel Corporate
64DCDE	ZheJiang FuChunJiang Information Technology Co.,Ltd
0CE159	Shenzhen iStartek Technology Co., Ltd.
E8A730	Apple, Inc.
6006E3	Apple, Inc.
A029BD	Team Group Inc
98B177	LANDIS + GYR
50F908	Wizardlab Co., Ltd.
50C2E8	CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
3009C0	Motorola Mobility LLC, a Lenovo Company
FC2E19	China Mobile Group Device Co.,Ltd.
701AD5	Openpath Security, Inc.
000E82	Infinity Tech
F0B61E	Intel Corporate
C84D44	Shenzhen Jiapeng Huaxiang Technology Co.,Ltd
B04692	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
AC764C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
5C58E6	Palo Alto Networks
EC94CB	Espressif Inc.
40406B	Icomera
EC97E0	Hangzhou Ezviz Software Co.,Ltd.
D0B66F	SERNET (SUZHOU) TECHNOLOGIES CORPORATION
7CFD6B	Xiaomi Communications Co Ltd
188740	Xiaomi Communications Co Ltd
341CF0	Xiaomi Communications Co Ltd
2C3A91	Huawei Device Co., Ltd.
64F705	Huawei Device Co., Ltd.
606EE8	Xiaomi Communications Co Ltd
F05ECD	Texas Instruments
F83869	LG Electronics
0016E8	Lumissil Microsystems
60CE41	HUAWEI TECHNOLOGIES CO.,LTD
281709	HUAWEI TECHNOLOGIES CO.,LTD
5CDFB8	Shenzhen Unionmemory Information System Limited
E00AF6	Liteon Technology Corporation
B40ECF	Bouffalo Lab (Nanjing) Co., Ltd.
E0C58F	China Mobile IOT Company Limited
2C0547	Shenzhen Phaten Tech. LTD
2C1A05	Cisco Systems, Inc
9C50D1	Murata Manufacturing Co., Ltd.
140020	LongSung Technology (Shanghai) Co.,Ltd.
441793	Espressif Inc.
00A388	BSkyB Ltd
503DEB	Zhejiang Tmall Technology Co., Ltd.
30B930	zte corporation
949869	zte corporation
7C66EF	Hon Hai Precision IND.CO.,LTD
785005	MOKO TECHNOLOGY Ltd
F87FA5	GREATEK
18E1DE	Chengdu ChipIntelli Technology Co., Ltd
8CF681	Silicon Laboratories
7C8437	China Post Communications Equipment Co., Ltd.
B84D43	HUNAN FN-LINK TECHNOLOGY LIMITED
AC6490	HUAWEI TECHNOLOGIES CO.,LTD
A84A63	TPV Display Technology(Xiamen) Co.,Ltd.
243FAA	Huawei Device Co., Ltd.
D867D3	Huawei Device Co., Ltd.
48474B	Huawei Device Co., Ltd.
806F1C	Huawei Device Co., Ltd.
C89F1A	HUAWEI TECHNOLOGIES CO.,LTD
D86852	HUAWEI TECHNOLOGIES CO.,LTD
84E342	Tuya Smart Inc.
E0A258	Wanbang Digital Energy Co.,Ltd
4CBCE9	LG Innotek
745CFA	Shenzhen Shunrui Gaojie Technology Co., Ltd.
94A408	Shenzhen Trolink Technology CO, LTD
D0F865	ITEL MOBILE LIMITED
385C76	PLANTRONICS, INC.
7CC177	INGRAM MICRO SERVICES
7876D9	EXARA Group
84A938	LCFC(HeFei) Electronics Technology co., ltd
3C9FC3	Beijing Sinead Technology Co., Ltd.
608FA4	Nokia Solutions and Networks GmbH & Co. KG
38FDF8	Cisco Systems, Inc
208C47	Tenstorrent Inc
5C2AEF	r2p Asia-Pacific Pty Ltd
E4936A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
4877BD	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
F856C3	zte corporation
7CFC16	Apple, Inc.
88B945	Apple, Inc.
0080E7	Leonardo UK Ltd
10321D	HUAWEI TECHNOLOGIES CO.,LTD
B0BE83	Apple, Inc.
DCF4CA	Apple, Inc.
18EF3A	Sichuan AI-Link Technology Co., Ltd.
A0FF22	SHENZHEN APICAL TECHNOLOGY CO., LTD
00041B	Bridgeworks Ltd.
6CD3EE	ZIMI CORPORATION
E42805	Pivotal Optics
5C0214	Beijing Xiaomi Mobile Software Co., Ltd
785EA2	Sunitec Enterprise Co.,Ltd
381F8D	Tuya Smart Inc.
04CD15	Silicon Laboratories
A0B53C	Technicolor Delivery Technologies Belgium NV
700971	Samsung Electronics Co.,Ltd
D01B49	Samsung Electronics Co.,Ltd
3429EF	Qingdao Haier Technology Co.,Ltd
541D61	YEESTOR Microelectronics Co., Ltd
3453D2	Sagemcom Broadband SAS
C4BDE5	Intel Corporate
3035C5	Huawei Device Co., Ltd.
649E31	Beijing Xiaomi Mobile Software Co., Ltd
F820A9	Huawei Device Co., Ltd.
24CD8D	Murata Manufacturing Co., Ltd.
34AA31	Shenzhen Skyworth  Digital  Technology  CO., Ltd
48BD4A	HUAWEI TECHNOLOGIES CO.,LTD
A8D4E0	HUAWEI TECHNOLOGIES CO.,LTD
A0406F	HUAWEI TECHNOLOGIES CO.,LTD
004F1A	HUAWEI TECHNOLOGIES CO.,LTD
24698E	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
7433A6	Shenzhen SuperElectron Technology Co.,Ltd.
2C0DA7	Intel Corporate
BC2CE6	Cisco Systems, Inc
CCED4D	Cisco Systems, Inc
FC5F49	Zhejiang Dahua Technology Co., Ltd.
6CB0FD	Shenzhen Xinghai Iot Technology Co.,Ltd
D463DE	vivo Mobile Communication Co., Ltd.
A85BF7	Aruba, a Hewlett Packard Enterprise Company
642C0F	vivo Mobile Communication Co., Ltd.
30AFCE	vivo Mobile Communication Co., Ltd.
DC8C1B	vivo Mobile Communication Co., Ltd.
0C9043	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
18E777	vivo Mobile Communication Co., Ltd.
6CD94C	vivo Mobile Communication Co., Ltd.
541F8D	zte corporation
2CF1BB	zte corporation
CC7190	VIETNAM POST AND TELECOMMUNICATION INDUSTRY TECHNOLOGY JOINT STOCK COMPANY
B0F7C4	Amazon Technologies Inc.
18A9A6	Nebra Ltd
8C5646	LG Electronics
DC2C6E	Routerboard.com
1400E9	Mitel Networks Corporation
ACACE2	CHANGHONG (HONGKONG) TRADING LIMITED
4C8D53	HUAWEI TECHNOLOGIES CO.,LTD
547D40	Powervision Tech Inc.
C0D7AA	Arcadyan Corporation
6C0F0B	China Mobile Group Device Co.,Ltd.
D4B7D0	Ciena Corporation
202027	Shenzhen Sundray Technologies Company Limited
C8418A	Samsung Electronics.,LTD
4CABF8	ASKEY COMPUTER CORP
F89E94	Intel Corporate
1848BE	Amazon Technologies Inc.
68228E	Juniper Networks
686725	Espressif Inc.
80B745	The Silk Technologies ILC LTD
C403A8	Intel Corporate
644212	Shenzhen Water World Information Co.,Ltd.
886EE1	Erbe Elektromedizin GmbH
AC8BA9	Ubiquiti Networks Inc.
C475AB	Intel Corporate
0CB088	AITelecom
DC973A	Verana Networks
2066FD	CONSTELL8 NV
9C00D3	SHENZHEN IK WORLD Technology Co., Ltd
282D06	AMPAK Technology,Inc.
202B20	CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
884D7C	Apple, Inc.
A8FE9D	Apple, Inc.
A0A309	Apple, Inc.
5C50D9	Apple, Inc.
000A08	Alps Alpine
E8CAC8	Hui Zhou Gaoshengda Technology Co.,LTD
D419F6	NXP Semiconductor (Tianjin) LTD.
A04C0C	Shenzhen Skyworth  Digital  Technology  CO., Ltd
40ACBF	Hangzhou Hikvision Digital Technology Co.,Ltd.
64BF6B	HUAWEI TECHNOLOGIES CO.,LTD
30499E	HUAWEI TECHNOLOGIES CO.,LTD
FC7692	Semptian Co.,Ltd.
FCAFBE	TireCheck GmbH
848094	Meter, Inc.
10B3D5	Cisco Systems, Inc
30A2C2	Huawei Device Co., Ltd.
DCDFD6	zte corporation
ACA88E	SHARP Corporation
98415C	Nintendo Co.,Ltd
705425	ARRIS Group, Inc.
5C0BCA	Tunstall Nordic AB
283334	Huawei Device Co., Ltd.
50A132	Shenzhen MiaoMing  Intelligent Technology Co.,Ltd
807871	ASKEY COMPUTER CORP
4CB1CD	Ruckus Wireless
F49C12	Structab AB
88517A	HMD Global Oy
ACB3B5	HUAWEI TECHNOLOGIES CO.,LTD
083A88	Universal Global Scientific Industrial Co., Ltd.
08318B	HUAWEI TECHNOLOGIES CO.,LTD
F4B688	PLANTRONICS, INC.
4C7A48	Nippon Seiki (Europe) B.V.
84D15A	TCT mobile ltd
047F0E	Barrot Technology Limited
B8F653	Shenzhen Jingxun Software Telecommunication Technology Co.,Ltd
60AB14	LG Innotek
BC62D2	Genexis International B.V.
6C9E7C	Fiberhome Telecommunication Technologies Co.,LTD
44D5F2	IEEE Registration Authority
000C86	Cisco Systems, Inc
F83CBF	BOTATO ELECTRONICS SDN BHD
FC589A	Cisco Systems, Inc
F08620	Arcadyan Corporation
DCCC8D	Integrated Device Technology (Malaysia) Sdn. Bhd.
F05C77	Google, Inc.
111111	Private
6CD71F	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
F06865	Taicang T&W Electronics
A463A1	Inventus Power Eletronica do Brasil LTDA
3C9D56	HUAWEI TECHNOLOGIES CO.,LTD
70FD45	HUAWEI TECHNOLOGIES CO.,LTD
446747	HUAWEI TECHNOLOGIES CO.,LTD
884A70	Wacom Co.,Ltd.
F4B5BB	CERAGON NETWORKS
507AC5	Apple, Inc.
4C6BE8	Apple, Inc.
8C861E	Apple, Inc.
542B8D	Apple, Inc.
001D29	Doro AB
ECA5DE	ONYX WIFI Inc
1033BF	Technicolor CH USA Inc.
347563	SHENZHEN RF-LINK TECHNOLOGY CO.,LTD.
142E5E	Sercomm Corporation.
0025CB	Reiner SCT
44237C	Beijing Xiaomi Mobile Software Co., Ltd
C064E4	Cisco Systems, Inc
50804A	Quectel Wireless Solutions Co., Ltd.
309435	vivo Mobile Communication Co., Ltd.
D44BB6	Zhejiang Tmall Technology Co., Ltd.
38184C	Sony Home Entertainment&Sound Products Inc
D82FE6	Zhejiang Tmall Technology Co., Ltd.
140F42	Nokia
006D61	Guangzhou V-SOLUTION Electronic Technology Co., Ltd.
C4AC59	Murata Manufacturing Co., Ltd.
FCA47A	IEEE Registration Authority
E419C1	HUAWEI TECHNOLOGIES CO.,LTD
B86685	Sagemcom Broadband SAS
381A52	Seiko Epson Corporation
000A17	NESTAR COMMUNICATIONS, INC
D8AF81	ZAO NPK Rotek
E4FDA1	HUAWEI TECHNOLOGIES CO.,LTD
B452A9	Texas Instruments
54EF44	Lumi United Technology Co., Ltd
402B50	ARRIS Group, Inc.
78CC2B	SINEWY TECHNOLOGY CO., LTD
D0C857	IEEE Registration Authority
FCBCD1	HUAWEI TECHNOLOGIES CO.,LTD
7460FA	HUAWEI TECHNOLOGIES CO.,LTD
38EFE3	INGENICO TERMINALS SAS
50D4F7	TP-LINK TECHNOLOGIES CO.,LTD.
001F47	MCS Logic Inc.
8CFD18	HUAWEI TECHNOLOGIES CO.,LTD
B45459	China Mobile (Hangzhou) Information Technology Co., Ltd.
000970	Vibration Research Corporation
14A2A0	Cisco Systems, Inc
E4AB89	MitraStar Technology Corp.
78C313	China Mobile Group Device Co.,Ltd.
7434AE	this is engineering Inc.
74ADB7	China Mobile Group Device Co.,Ltd.
6095CE	IEEE Registration Authority
8CE5C0	Samsung Electronics Co.,Ltd
F08A76	Samsung Electronics Co.,Ltd
ECAA25	Samsung Electronics Co.,Ltd
687D6B	Samsung Electronics Co.,Ltd
485169	Samsung Electronics Co.,Ltd
C40683	HUAWEI TECHNOLOGIES CO.,LTD
94D00D	HUAWEI TECHNOLOGIES CO.,LTD
C48A5A	JFCONTROL
B49A95	Shenzhen Boomtech Industrial Corporation
AC83E9	Beijing Zile Technology Co., Ltd
D8CA06	Titan DataCenters France
1C20DB	HUAWEI TECHNOLOGIES CO.,LTD
D0C65B	HUAWEI TECHNOLOGIES CO.,LTD
9078B2	Xiaomi Communications Co Ltd
B4CFE0	Sichuan tianyi kanghe communications co., LTD
BC7FA4	Xiaomi Communications Co Ltd
FC492D	Amazon Technologies Inc.
74EE2A	SHENZHEN BILIAN ELECTRONIC CO.，LTD
087E64	Technicolor CH USA Inc.
080039	SPIDER SYSTEMS LIMITED
90473C	China Mobile Group Device Co.,Ltd.
889E33	TCT mobile ltd
6C8AEC	Nantong Coship Electronics Co., Ltd.
84C2E4	Jiangsu Qinheng Co., Ltd.
7C21D8	Shenzhen Think Will Communication Technology co., LTD.
FCEA50	Integrated Device Technology (Malaysia) Sdn. Bhd.
00E06B	W&G SPECIAL PRODUCTS
045C6C	Juniper Networks
D8F15B	Espressif Inc.
D4F057	Nintendo Co.,Ltd
6CF17E	Zhejiang Uniview Technologies Co.,Ltd.
083A2F	Guangzhou Juan Intelligent Tech Joint Stock Co.,Ltd
1C3A60	Ruckus Wireless
6009C3	u-blox AG
488764	vivo Mobile Communication Co., Ltd.
5C1CB9	vivo Mobile Communication Co., Ltd.
C0FD84	zte corporation
444B7E	Fiberhome Telecommunication Technologies Co.,LTD
DC8C37	Cisco Systems, Inc
E8D0FC	Liteon Technology Corporation
E8E8B7	Murata Manufacturing Co., Ltd.
103D3E	China Mobile Group Device Co.,Ltd.
7C50DA	Private
64CC22	Arcadyan Corporation
4C9157	Fujian LANDI Commercial Equipment Co.,Ltd
9C25BE	Wildlife Acoustics, Inc.
D039EA	NetApp
F8DFE1	MyLight Systems
60D2DD	Shenzhen Baitong Putian Technology Co.,Ltd.
788C77	LEXMARK INTERNATIONAL, INC.
3C0C7D	Tiny Mesh AS
3476C5	I-O DATA DEVICE,INC.
24DA33	HUAWEI TECHNOLOGIES CO.,LTD
FCAB90	HUAWEI TECHNOLOGIES CO.,LTD
5893D8	Texas Instruments
5051A9	Texas Instruments
A4975C	VTech Telecommunications Ltd.
B02A1F	Wingtech Group (HongKong）Limited
DC680C	Hewlett Packard Enterprise
F40270	Dell Inc.
1C2704	zte corporation
5078B3	zte corporation
F0D4F7	varram system
E0CC7A	HUAWEI TECHNOLOGIES CO.,LTD
6C23CB	Wattty Corporation
60AB67	Xiaomi Communications Co Ltd
AC710C	China Mobile Group Device Co.,Ltd.
A8DB03	SAMSUNG ELECTRO-MECHANICS(THAILAND)
308944	DEVA Broadcast Ltd.
F47960	HUAWEI TECHNOLOGIES CO.,LTD
145290	KNS Group LLC (YADRO Company)
5C32C5	Teracom Ltd.
ACEE70	Fontem Ventures BV
ACE2D3	Hewlett Packard
00FD22	Cisco Systems, Inc
4418FD	Apple, Inc.
00B600	VOIM Co., Ltd.
98FA9B	LCFC(HeFei) Electronics Technology co., ltd
005B94	Apple, Inc.
E0897E	Apple, Inc.
B00CD1	Hewlett Packard
4846C1	FN-LINK TECHNOLOGY LIMITED
B4D0A9	China Mobile Group Device Co.,Ltd.
FC29F3	McPay Co.,LTD.
F8AFDB	Fiberhome Telecommunication Technologies Co.,LTD
A0BD1D	Zhejiang Dahua Technology Co., Ltd.
E49F1E	ARRIS Group, Inc.
002615	Teracom Limited
9C8EDC	Teracom Limited
000191	SYRED Data Systems
ACD564	CHONGQING FUGUI ELECTRONICS CO.,LTD.
94D075	CIS Crypto
28B4FB	Sprocomm Technologies CO.,LTD.
40F9D5	Tecore Networks
CC2C83	DarkMatter L.L.C
DCED84	Haverford Systems Inc
7C573C	Aruba, a Hewlett Packard Enterprise Company
2C01B5	Cisco Systems, Inc
C05336	Beijing National Railway Research & Design Institute of Signal & Communication Group Co..Ltd.
606ED0	SEAL AG
2CCCE6	Skyworth Digital Technology(Shenzhen) Co.,Ltd
E44CC7	IEEE Registration Authority
D4E880	Cisco Systems, Inc
A8346A	Samsung Electronics Co.,Ltd
3C20F6	Samsung Electronics Co.,Ltd
7C38AD	Samsung Electronics Co.,Ltd
D49CDD	AMPAK Technology,Inc.
50F722	Cisco Systems, Inc
9849E1	Boeing Defence Australia
04D7A5	New H3C Technologies Co., Ltd
4C4D66	Nanjing Jiahao Technology Co., Ltd.
A4817A	CIG SHANGHAI CO LTD
905851	Technicolor CH USA Inc.
9809CF	OnePlus Technology (Shenzhen) Co., Ltd
B8DE5E	LONGCHEER TELECOMMUNICATION LIMITED
885A06	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
5447D3	TSAT AS
CCEDDC	MitraStar Technology Corp.
CCD81F	Maipu Communication Technology Co.,Ltd.
688B0F	China Mobile IOT Company Limited
F82F6A	ITEL MOBILE LIMITED
B068E6	CHONGQING FUGUI ELECTRONICS CO.,LTD.
A4E7E4	Connex GmbH
B8EF8B	SHENZHEN CANNICE TECHNOLOGY CO.,LTD
B8186F	ORIENTAL MOTOR CO., LTD.
001A3F	Intelbras
C0D834	xvtec ltd
B8C253	Juniper Networks
F05C19	Aruba, a Hewlett Packard Enterprise Company
04BD88	Aruba, a Hewlett Packard Enterprise Company
9C1C12	Aruba, a Hewlett Packard Enterprise Company
18DFB4	BOSUNG POWERTEC CO.,LTD.
000147	Zhone Technologies
20B780	Toshiba Visual Solutions Corporation Co.,Ltd
E03717	Technicolor CH USA Inc.
14D4FE	ARRIS Group, Inc.
304F75	DASAN Network Solutions
ECA9FA	GUANGDONG GENIUS TECHNOLOGY CO., LTD.
0003A5	Medea Corporation
BCE67C	Cambium Networks Limited
7C1E06	New H3C Technologies Co., Ltd
F0B31E	Universal Electronics, Inc.
F89173	AEDLE SAS
C84F86	Sophos Ltd
6429ED	AO PKK Milandr
443C88	FICOSA MAROC INTERNATIONAL
841C70	zte corporation
544741	XCHENG HOLDING
CCF735	Amazon Technologies Inc.
C4F839	Actia Automotive
C8F742	HangZhou Gubei Electronics Technology Co.,Ltd
006FF2	MITSUMI ELECTRIC CO.,LTD.
30DF8D	SHENZHEN GONGJIN ELECTRONICS CO.,LT
D4C93C	Cisco Systems, Inc
78DD12	Arcadyan Corporation
2C5D34	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
9C1463	Zhejiang Dahua Technology Co., Ltd.
646038	Hirschmann Automation and Control GmbH
7018A7	Cisco Systems, Inc
CCD39D	IEEE Registration Authority
D425CC	IEEE Registration Authority
8C6DC4	Megapixel VR
D4B761	Sichuan AI-Link Technology Co., Ltd.
7C035E	Xiaomi Communications Co Ltd
44FE3B	Arcadyan Corporation
D83AF5	Wideband Labs LLC
38D9A5	Mikotek Information Inc.
4C875D	Bose Corporation
B0E7DE	Homa Technologies JSC
649D99	FS COM INC
00169D	Cisco Systems, Inc
4C962D	Fresh AB
00D279	VINGROUP JOINT STOCK COMPANY
484A30	George Robotics Limited
4861A3	Concern Axion JSC
304A26	Shenzhen Trolink Technology CO, LTD
4CE5AE	Tianjin Beebox Intelligent Technology Co.,Ltd.
D467D3	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
A41232	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
48E3C3	JENOPTIK Advanced Systems GmbH
CC355A	SecuGen Corporation
80546A	SHENZHEN GONGJIN ELECTRONICS CO.,LT
B447F5	Earda Technologies co Ltd
F4C7C8	Kelvin Inc.
A89CA4	Furrion Limited
00004C	NEC Corporation
8CCF8F	ITC Systems
2875D8	FUJIAN STAR-NET COMMUNICATION CO.,LTD
90E202	Texas Instruments
302478	Sagemcom Broadband SAS
7C89C1	Palo Alto Networks
84A93E	Hewlett Packard
B0C387	GOEFER, Inc.
086BD7	Silicon Laboratories
349342	TTE Corporation
589EC6	Gigaset Communications GmbH
64C753	Apple, Inc.
6458AD	China Mobile IOT Company Limited
1CF29A	Google, Inc.
748A0D	ARRIS Group, Inc.
CC75E2	ARRIS Group, Inc.
A0A3B8	WISCLOUD
38F9D3	Apple, Inc.
FC183C	Apple, Inc.
A40C66	Shenzhen Colorful Yugong Technology and Development Co., Ltd.
4455B1	HUAWEI TECHNOLOGIES CO.,LTD
98F9C7	IEEE Registration Authority
700B4F	Cisco Systems, Inc
E4388C	Digital Products Limited
184BDF	Caavo Inc
B89A9A	Xin Shi Jia Technology (Beijing) Co.,Ltd
8C7BF0	Xufeng Development Limited
E0A509	Bitmain Technologies Inc
3C5CC4	Amazon Technologies Inc.
D8A756	Sagemcom Broadband SAS
D8D6F3	Integrated Device Technology (Malaysia) Sdn. Bhd.
6C2CDC	Skyworth Digital Technology(Shenzhen) Co.,Ltd
7835A0	Zurn Industries LLC
F43909	Hewlett Packard
201F31	Inteno Broadband Technology AB
2CCC44	Sony Interactive Entertainment Inc.
F47DEF	Samsung Electronics Co.,Ltd
7C8BB5	Samsung Electronics Co.,Ltd
54833A	Zyxel Communications Corporation
787052	Welotec GmbH
D8A98B	Texas Instruments
00116C	Nanwang Multimedia Inc.,Ltd
10B9F7	Niko-Servodan
14EFCF	SCHREDER
3830F9	LG Electronics (Mobile Communications)
A83FA1	IEEE Registration Authority
6C9BC0	Chemoptics Inc.
F4DBE6	Cisco Systems, Inc
248498	Beijing Jiaoda Microunion Tech.Co.,Ltd.
C074AD	Grandstream Networks, Inc.
